"","tweetsdf1.text","id"
"21","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",21
"22","@Starbucks Shut up",22
"23","RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…",23
"24","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",24
"25","Holiday time is the only time a really patronize Starbucks. That Carmel Apple Spice is ",25
"26","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",26
"27","I'm at Starbucks in Pasadena, CA https://t.co/j4WpE8HYsB",27
"28","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",28
"29","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",29
"30","The amount of money I spend at Starbucks in a week is ridics",30
"31","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",31
"32","RT @SnackFeverUS: For speaking my beautiful languagehttps://t.co/ToiEPYtAPy",32
"33","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",33
"34","RT @Twinkle_cheese: My personality is just like my order at Starbucks... complicated and always a little extra",34
"35","RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…",35
"36","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",36
"37","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",37
"38","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",38
"39","@DREAMR91 yeah I dead ass work next door at target Starbucks , whenever u pull up I'll shoot you the caffeine for free my nigga",39
"40","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",40
"41","RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…",41
"42","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",42
"43","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",43
"44","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",44
"45","I love everyone who gave me Starbucks gift cards ",45
"46","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",46
"47","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",47
"48","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",48
"49","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",49
"50","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",50
"51","RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…",51
"52","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",52
"53","RT @bostock_scott: Its already bad that the campus starbucks baristas know my name, but now there are Disneyland baristas that recognize me…",53
"54","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",54
"55","9 years ago today, my sisters car caught fire while we were driving around town, we had to grab my nephew and stand… https://t.co/PmOSgsYmAO",55
"56","Ever tried Starbucks coffee? Pretty good. Little bitter",56
"57","Interesting timing with the net neutrality issue still active.  Maybe ISP's will just start ""charging"" clients... https://t.co/unIdE3XGdY",57
"58","Sooo I’ve been in this Starbucks line for 10 min bc Laurence wanted his “vanilla sweet cream cold brew easy ice and extra sweet cream”",58
"59","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",59
"60","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",60
"61","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",61
"62","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",62
"63","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",63
"64","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",64
"65","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",65
"66","Saw a lady and her daughter walking down the street, each holding large #starbucks cups. I don't wanna be a judgeas… https://t.co/LYlXOjCtsj",66
"67","If @Starbucks is removing all of the outlets and wifi from their stores, where am I supposed to get work done while… https://t.co/xrRnQDLXyk",67
"68","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",68
"69","Starbucks reward means a BIG GIRL drink! #extrashotofespresso #starbucks #FridayFeeling",69
"70","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",70
"71","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",71
"72","@deepvoiceonee Is this fucking Starbucks",72
"73","RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…",73
"74","I WANT STARBUCKS",74
"75","@FitzTaylor Medicine ball from Starbucks made just like this... I swear by it!!  Feel better luv https://t.co/cnsuKxCXw3",75
"76","#givegood Starbucks",76
"77","Someone visit Starbucks inside target in Alhambra , SOS bring your boy food it's real in the field ",77
"78","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",78
"79","10 years ago, I wouldn't have recognized this as Starbucks. A sign that they have cultivated their brand well over… https://t.co/qJVPxExdI3",79
"80","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",80
"81","RT @CamilleLenore: RT OR TAG A FRIEND ✨ I'm going to send a random stranger a free drink to @Starbucks  #HappyHolidays #GiveGood  ☕️☕️☕️ h…",81
"82","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",82
"83","Starbucks has made it so fucking hard to get hired that I don’t even wanna work there anymore",83
"84","I love when @Starbucks goes “DOUBLE STARS AFTER 2PM” and I work 2-10pm. Rude.",84
"85","@Starbucks can I get assistance proccessing refund please?",85
"86","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",86
"87","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",87
"88","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",88
"89","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",89
"90","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",90
"91","Hey @starbucks... it's our anniversary! 4 years ago, we partnered with YOU, our favorite coffee brewer ❤ Since then… https://t.co/K7Ab3iP775",91
"92","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",92
"93","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",93
"94","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",94
"95","Guy rushed #starbucks employee for his ice coffee in Santa Monica store, when he was fourth in line and kept reachi… https://t.co/9bOmbNcu45",95
"96","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",96
"97","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",97
"98","RT @TrevorMoran: MY STARBUCKS BARISTAS ALL JUST SAID THEY LOVED MY SONG AND MUSIC VIDEO AND JUSY GAVE ME A FREE DRINK AND SANDWICH WOW THEY…",98
"99","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",99
"100","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",100
"101","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",101
"102","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",102
"103","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",103
"104","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",104
"105","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",105
"106","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",106
"107","Seriously @Starbucks ?!? I don’t understand the illiteracy in this country. Who TF’s name is this?? #Dumbasses… https://t.co/J3LiyBwDlR",107
"108","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",108
"109","""Ferdinand, I have your polar bear cake pop!""

- Things you only hear screamed over a crowd of people at Starbucks",109
"110","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",110
"111","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",111
"112","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",112
"113","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",113
"114","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",114
"115","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/xza5zhWSs2",115
"116","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",116
"117","@Starbucks I would love to celebrate #NationalCupcakeDay with you! Please add a #VeganCupcake to your menu. #vegan #cupcake #SBUX ❤️",117
"118","the lady in front of me in the Starbucks line payed for my order and said merry Christmas, morning made ❤️",118
"119","@UCLAMBB @GoBearcatsMBB @FollowJoeBruin Even better than Star Wars :) - the closeout sale we're having at 10959 Wey… https://t.co/mTuuw6Lwl0",119
"120","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",120
"121","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",121
"122","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",122
"123","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",123
"124","RT @ijustine: @jakerawr Maxed out like a basic Starbucks Apple fan girl",124
"125","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",125
"126","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",126
"127","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",127
"128","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",128
"129","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",129
"130","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",130
"131","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",131
"132","RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…",132
"133","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",133
"134","I should've gotten some Starbucks for breakfast I'm starving smh",134
"135","RT @ijustine: @jakerawr Maxed out like a basic Starbucks Apple fan girl",135
"136","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",136
"137","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",137
"138","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",138
"139","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",139
"140","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",140
"141","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",141
"142","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",142
"143","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",143
"144","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",144
"145","Ok I’m a huge fan of @Starbucks but is anyone else playing the “Starbucks for Life” game? Could it be more rigged?… https://t.co/ghCZb4rRYY",145
"146","i need Starbucks so i can fully wake up",146
"147","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",147
"148","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",148
"149","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",149
"150","starbucks seriously blessed my family and i during the rough period of time during the Thomas Fire... thank you for… https://t.co/oASJJmOUCN",150
"151","in Santa Monica and found a parking spot in front of Starbucks with 30 minutes in it  the car in front of me was e… https://t.co/WyPTB19j5x",151
"152","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",152
"153","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",153
"154","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",154
"155","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",155
"156","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",156
"157","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",157
"158","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",158
"159","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",159
"160","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",160
"161","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",161
"162","Medicine ball from #Starbucks is life ",162
"163","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",163
"164","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",164
"165","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",165
"166","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",166
"167","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",167
"168","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",168
"169","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",169
"170","RT @WillStegemann: They say you either die a hero or live long enough to witness a teenager in a Starbucks mistake the Wu Tang Clan symbol…",170
"171","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",171
"172","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",172
"173","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",173
"174","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",174
"175","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",175
"176","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",176
"177","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",177
"178","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",178
"179","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",179
"180","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",180
"181","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",181
"182","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",182
"183","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",183
"184","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",184
"185","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",185
"186","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",186
"187","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",187
"188","Cryptojackers Found on Starbucks WiFi Network, GitHub, Pirate Streaming Sites https://t.co/E68tRaEbiU",188
"189","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",189
"190","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/O0qzgZXp1J",190
"191","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",191
"192","RT @SoReIatable: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",192
"193","RT @OneMoreJoke: ""Do you have a Starbucks card?""
""Do you have a My Kohl's Charge?""
""Do you have a Dick's ScoreCard?""
""Do you have an AE Rew…",193
